"1","Switzerland","7.59","1.40","1.35","0.94","0.67","0.42","0.30","2.52","2015"
"2","Iceland","7.56","1.30","1.40","0.95","0.63","0.14","0.44","2.70","2015"
"3","Denmark","7.53","1.33","1.36","0.87","0.65","0.48","0.34","2.49","2015"
"4","Norway","7.52","1.46","1.33","0.89","0.67","0.37","0.35","2.47","2015"
"5","Canada","7.43","1.33","1.32","0.91","0.63","0.33","0.46","2.45","2015"
"6","Finland","7.41","1.29","1.32","0.89","0.64","0.41","0.23","2.62","2015"
"7","Netherlands","7.38","1.33","1.28","0.89","0.62","0.32","0.48","2.47","2015"
"8","Sweden","7.36","1.33","1.29","0.91","0.66","0.44","0.36","2.37","2015"
"9","New Zealand","7.29","1.25","1.32","0.91","0.64","0.43","0.48","2.26","2015"
"10","Australia","7.28","1.33","1.31","0.93","0.65","0.36","0.44","2.27","2015"
"11","Israel","7.28","1.23","1.22","0.91","0.41","0.08","0.33","3.09","2015"
"12","Costa Rica","7.23","0.96","1.24","0.86","0.63","0.11","0.25","3.18","2015"
"13","Austria","7.20","1.34","1.30","0.89","0.62","0.19","0.33","2.53","2015"
"14","Mexico","7.19","1.02","0.91","0.81","0.48","0.21","0.14","3.60","2015"
"15","United States","7.12","1.39","1.25","0.86","0.55","0.16","0.40","2.51","2015"
"16","Brazil","6.98","0.98","1.23","0.70","0.49","0.18","0.15","3.26","2015"
"17","Luxembourg","6.95","1.56","1.22","0.92","0.62","0.38","0.28","1.97","2015"
"18","Ireland","6.94","1.34","1.37","0.90","0.62","0.29","0.46","1.98","2015"
"19","Belgium","6.94","1.31","1.29","0.90","0.58","0.23","0.22","2.41","2015"
"20","United Arab Emirates","6.90","1.43","1.13","0.81","0.64","0.39","0.26","2.25","2015"
"21","United Kingdom","6.87","1.27","1.29","0.91","0.60","0.32","0.52","1.97","2015"
"22","Oman","6.85","1.36","1.08","0.76","0.63","0.33","0.22","2.47","2015"
"23","Venezuela","6.81","1.04","1.26","0.72","0.43","0.11","0.06","3.19","2015"
"24","Singapore","6.80","1.52","1.02","1.03","0.54","0.49","0.31","1.89","2015"
"25","Panama","6.79","1.06","1.20","0.80","0.54","0.09","0.24","2.85","2015"
"26","Germany","6.75","1.33","1.30","0.89","0.61","0.22","0.28","2.12","2015"
"27","Chile","6.67","1.11","1.12","0.86","0.44","0.13","0.33","2.68","2015"
"28","Qatar","6.61","1.69","1.08","0.80","0.64","0.52","0.33","1.56","2015"
"29","France","6.58","1.28","1.26","0.95","0.55","0.21","0.12","2.21","2015"
"30","Argentina","6.57","1.05","1.25","0.79","0.45","0.08","0.11","2.84","2015"
"31","Czech Republic","6.51","1.18","1.21","0.84","0.46","0.03","0.11","2.68","2015"
"32","Uruguay","6.49","1.06","1.21","0.81","0.60","0.25","0.23","2.32","2015"
"33","Colombia","6.48","0.92","1.24","0.69","0.53","0.05","0.18","2.86","2015"
"34","Thailand","6.46","0.97","1.27","0.74","0.56","0.03","0.58","2.32","2015"
"35","Saudi Arabia","6.41","1.40","1.08","0.72","0.31","0.33","0.14","2.44","2015"
"36","Spain","6.33","1.23","1.31","0.96","0.46","0.06","0.18","2.12","2015"
"37","Malta","6.30","1.21","1.30","0.89","0.60","0.14","0.52","1.65","2015"
"38","Taiwan","6.30","1.29","1.08","0.88","0.40","0.08","0.25","2.32","2015"
"39","Kuwait","6.30","1.55","1.17","0.72","0.55","0.26","0.16","1.88","2015"
"40","Suriname","6.27","1.00","0.97","0.61","0.60","0.14","0.17","2.79","2015"
"41","Trinidad and Tobago","6.17","1.21","1.18","0.61","0.56","0.01","0.32","2.27","2015"
"42","El Salvador","6.13","0.76","1.03","0.68","0.40","0.12","0.11","3.04","2015"
"43","Guatemala","6.12","0.75","1.04","0.64","0.58","0.09","0.27","2.74","2015"
"44","Uzbekistan","6.00","0.63","1.34","0.60","0.66","0.31","0.23","2.24","2015"
"45","Slovakia","6.00","1.17","1.27","0.79","0.32","0.03","0.17","2.25","2015"
"46","Japan","5.99","1.27","1.26","0.99","0.50","0.18","0.11","1.68","2015"
"47","South Korea","5.98","1.24","0.96","0.97","0.33","0.08","0.19","2.22","2015"
"48","Ecuador","5.98","0.86","1.00","0.79","0.49","0.18","0.12","2.54","2015"
"49","Bahrain","5.96","1.32","1.22","0.75","0.45","0.31","0.17","1.74","2015"
"50","Italy","5.95","1.25","1.20","0.95","0.26","0.03","0.23","2.03","2015"
"51","Bolivia","5.89","0.68","0.98","0.54","0.57","0.09","0.21","2.82","2015"
"52","Moldova","5.89","0.59","1.02","0.62","0.33","0.02","0.21","3.11","2015"
"53","Paraguay","5.88","0.76","1.30","0.66","0.54","0.08","0.34","2.19","2015"
"54","Kazakhstan","5.86","1.12","1.12","0.64","0.52","0.08","0.12","2.25","2015"
